icao24,callsign,origin_country,longitude,latitude,geoaltitude_ft,groundspeed_mph,distance_miles,timestamp
a5351f,N43455,United States,-122.6673,42.17,2650.0,97.0,41.0,2026-03-13 03:03:06+00:00
aaa4dc,UAL927,United States,-121.6886,42.2667,39952.0,538.0,90.0,2026-03-13 03:03:18+00:00
a28de3,ASA1392,United States,-122.8579,43.2986,34827.0,482.0,72.0,2026-03-13 03:03:32+00:00
a2e646,SWA1821,United States,-122.864,41.7909,40002.0,513.0,48.0,2026-03-13 03:03:32+00:00
aae59e,ASA779,United States,-122.6767,43.0051,34902.0,498.0,60.0,2026-03-13 03:03:32+00:00
c05d3c,JZA767,Canada,-121.8326,43.1813,38952.0,511.0,100.0,2026-03-13 03:03:31+00:00
a74e7a,ASA589,United States,-122.9834,43.4446,32727.0,516.0,79.0,2026-03-13 03:03:31+00:00
ad036b,ASA525,United States,-123.2764,42.4905,36977.0,516.0,13.0,2026-03-13 03:03:32+00:00
a376fe,AAY24,United States,-122.8461,42.323,2250.0,155.0,30.0,2026-03-13 03:03:32+00:00
a2ebbd,ASA1397,United States,-122.6833,42.3096,34977.0,477.0,39.0,2026-03-13 03:03:31+00:00
a05ddc,UAL2429,United States,-122.2519,43.2886,36902.0,502.0,89.0,2026-03-13 03:03:32+00:00
